NAME              SEX AGE    HEIGHT  WEIGHT
Alfred              M  14   69.00  112.50
Alice               F  13   56.50   84.00
Barbara             F  13   65.30   98.00
Carol               F  14   62.80  102.50
Henry               M  14   63.50  102.50
James               M  12   57.30   83.00
Jane                F  12   59.80   84.50
Janet               F  15   62.50  112.50
Jeffrey             M  13   62.50   84.00
John                M  12   59.00   99.50
Joyce               F  11   51.30   50.50
Judy                F  14   64.30   90.00
Louise              F  12   56.30   77.00
Mary                F  15   66.50  112.00
Philip              M  16   72.00  150.00
Robert              M  12   64.80  128.00
Ronald              M  15   67.00  133.00
Thomas              M  11   57.50   85.00
William             M  15   66.50  112.00
